State,Year,Number of death
Johor,2021,26951.0
Kedah,2021,18457.0
Kelantan,2021,13926.0
Malaysia,2021,224569.0
Melaka,2021,7083.0
Negeri Sembilan,2021,9165.0
Pahang,2021,10366.0
Perak,2021,21303.0
Perlis,2021,2234.0
Pulau Pinang,2021,13978.0
Sabah,2021,18873.0
Sarawak,2021,17596.0
Selangor,2021,42051.0
Terengganu,2021,8469.0
WP Kuala Lumpur,2021,13334.0
WP Labuan,2021,517.0
WP Putrajaya,2021,266.0
