State,Year,Number of death
Johor,2019,21776.0
Kedah,2019,14292.0
Kelantan,2019,11389.0
Malaysia,2019,173746.0
Melaka,2019,5542.0
Negeri Sembilan,2019,7157.0
Pahang,2019,9165.0
Perak,2019,18712.0
Perlis,2019,1994.0
Pulau Pinang,2019,10879.0
Sabah,2019,14493.0
Sarawak,2019,13990.0
Selangor,2019,27700.0
Terengganu,2019,7334.0
Kuala Lumpur,2019,8819.0
Labuan,2019,296.0
Putrajaya,2019,208.0
